role,skills
Data Scientist,"python, machine learning, deep learning, nlp, sql, statistics, tableau, pandas, numpy"
Data Analyst,"excel, sql, python, power bi, tableau, data visualization, statistics"
Machine Learning Engineer,"python, tensorflow, pytorch, scikit-learn, mlops, aws, docker"
AI Engineer,"python, deep learning, computer vision, nlp, tensorflow, pytorch, opencv"
Software Engineer,"java, python, c++, git, spring boot, django, flask, data structures"
Frontend Developer,"html, css, javascript, react, angular, vue, typescript"
Backend Developer,"node, express, django, flask, spring boot, sql, mongodb, rest api"
Full Stack Developer,"html, css, javascript, react, node, django, flask, sql, mongodb, aws"
DevOps Engineer,"docker, kubernetes, aws, git, jenkins, terraform, linux, bash"
Cloud Engineer,"aws, azure, gcp, docker, kubernetes, terraform, devops"
Database Administrator,"sql, mysql, postgresql, mongodb, oracle, performance tuning"
Cybersecurity Analyst,"network security, penetration testing, ethical hacking, firewalls, vpn, linux"
Blockchain Developer,"blockchain, solidity, smart contracts, web3, ethereum, cryptography"
Mobile App Developer,"android, ios, flutter, react native, swift, kotlin"
UI/UX Designer,"figma, adobe xd, prototyping, wireframing, user research, html, css"
Web Designer,"html, css, javascript, react, ui design, responsive design"
HR Manager,"communication, recruitment, employee engagement, training, compliance"
Project Manager,"agile, scrum, jira, leadership, communication, risk management"
Marketing Specialist,"seo, sem, email marketing, social media marketing, branding, analytics"
Finance Analyst,"excel, finance, accounting, sql, data analysis, power bi, statistics"
